user,day,logon_count,unique_pcs,after_hours_logons,file_event_count,to_removable_count,from_removable_count,device_event_count,device_connect_count,anomaly_score,prediction,is_anomaly
AAB0162,2010-01-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-13,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3021643161341433,1,0
AAB0162,2010-01-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-18,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33724295663524323,1,0
AAB0162,2010-01-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
AAB0162,2010-01-29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38405158731089023,1,0
